Date,Close,High,Low,Open,Volume
06-02-2025,403.9500122,411.25,398.7000122,402,25382
07-02-2025,404.3500061,413.9500122,399.9500122,403.25,25608
10-02-2025,429.0499878,431.9500122,409.3500061,410.4500122,28480
11-02-2025,413.4500122,437.9500122,409.5,433.8500061,24827
12-02-2025,431.7999878,432.8999939,414.6499939,416,26179
13-02-2025,438.8999939,440.8500061,424.0499878,429,14700
14-02-2025,419.75,438.1499939,411.6000061,435.3999939,10449
18-02-2025,419,424,405.6000061,421,13370
19-02-2025,417.8999939,434.1000061,414,423.9500122,6705
20-02-2025,395.75,417.8999939,395,417.8999939,677
21-02-2025,400,405.5,395,395.75,68
24-02-2025,393.7999878,399.2999878,393.7000122,394.8999939,72
25-02-2025,380.5,393.2000122,378.1000061,392.2000122,191
26-02-2025,379.4500122,381.1000061,374.5499878,377.0499878,33
27-02-2025,378.75,378,377.7999878,378,12
28-02-2025,379.0499878,382.1499939,379.3500061,382.0499878,24
03-03-2025,392.7000122,390.8500061,385.5,385.5,11
04-03-2025,403.75,404.75,391.8500061,391.8500061,19
05-03-2025,415.5,421.7999878,412.3500061,412.7000122,10
06-03-2025,393,413.4500122,409.5,413.4500122,4
07-03-2025,390.2000122,390.2000122,390.2000122,390.2000122,11
10-03-2025,389.3500061,394.8999939,394.8999939,394.8999939,4
11-03-2025,399.4500122,400.1499939,395.6000061,395.6000061,9
12-03-2025,392.2000122,392.2000122,392.2000122,392.2000122,5
13-03-2025,390.6000061,391.7000122,391.7000122,391.7000122,48
14-03-2025,382.1000061,382.1000061,382.1000061,382.1000061,1
17-03-2025,389.3500061,382.75,382.75,382.75,12
18-03-2025,387.1499939,391.9500122,383.7000122,386,22
19-03-2025,394.6000061,394.1499939,394.1000061,394.1499939,12747
20-03-2025,392.1499939,397.6000061,386.0499878,389.2999878,14036
21-03-2025,391.3999939,395.75,386.5,392,12375
24-03-2025,393.3999939,402.3999939,390.6000061,391.4500122,13306
25-03-2025,398.5499878,401,392.1000061,393.4500122,12354
26-03-2025,392,405.3999939,388.5499878,400,14383
27-03-2025,378.7999878,392.1000061,375.6000061,392,21790
28-03-2025,379.9500122,384.7999878,377.5499878,380.7999878,15500
31-03-2025,379.75,386.3999939,378.5499878,380,14167
01-04-2025,389.0499878,391.4500122,372.25,379.25,18430
02-04-2025,388.8500061,393.7000122,382.1499939,389.0499878,13885
03-04-2025,385.25,391,376.8999939,386.3999939,16445
04-04-2025,365.7000122,389.3500061,364.8999939,386.5499878,24921
07-04-2025,344.7999878,364.5,338.6000061,362.5,37079
08-04-2025,342.8999939,350.1499939,340.5,345,25850
09-04-2025,341.7000122,353.75,325.2000122,341.1499939,28737
10-04-2025,342.8500061,361.5,342.1499939,360.1000061,20192
11-04-2025,357.7000122,360.7000122,341.6000061,345.9500122,23345
14-04-2025,360.3999939,365.4500122,354,361.5,9191
15-04-2025,369.3999939,372.1499939,362.7000122,362.8999939,10062
16-04-2025,376.0499878,379.2000122,364.1000061,367.8999939,4806
17-04-2025,375.5,380.8999939,370,378.6000061,0
21-04-2025,366.7999878,379,364.3999939,374.5,3557
22-04-2025,377.6499939,381,366.7999878,369.5,204
23-04-2025,392.3999939,386.0499878,382,382.2999878,71
24-04-2025,408,409.0499878,393.9500122,393.9500122,216
25-04-2025,408.25,407.4500122,407.4500122,407.4500122,29
28-04-2025,421.5499878,422.3999939,407.2000122,407.2000122,96
29-04-2025,412.6499939,427.7999878,410.75,426,16
30-04-2025,413.6000061,413.6000061,413.6000061,413.6000061,0
01-05-2025,395.7000122,399.8999939,399.8999939,399.8999939,1
02-05-2025,395.3999939,395.3999939,395.3999939,395.3999939,0
05-05-2025,398.9500122,395,395,395,1
06-05-2025,401.1000061,404.2000122,404.2000122,404.2000122,13
07-05-2025,396.2000122,396.5,396.5,396.5,22
08-05-2025,397.7999878,397.7999878,397.7999878,397.7999878,14
09-05-2025,397.1499939,398.5,398.5,398.5,8
12-05-2025,382.4500122,382.4500122,382.4500122,382.4500122,0
13-05-2025,384.8500061,380,380,380,25
14-05-2025,373.9500122,378.75,373.75,378.75,31
15-05-2025,384.9500122,383,375,375,20
16-05-2025,376.25,384.1499939,375.6499939,384.1499939,112
19-05-2025,376.1499939,378.5499878,377.8500061,377.8500061,10983
20-05-2025,369.2999878,379.25,368.2000122,374,9934
21-05-2025,370.2999878,375.2000122,366.3999939,370,7625
22-05-2025,360.75,368.4500122,359.2000122,368.4500122,14747
23-05-2025,361,363,355.25,361.7000122,0
27-05-2025,361.7000122,364.8500061,355.5499878,359.1000061,12122
28-05-2025,351.9500122,360.0499878,350.1499939,359.2000122,15417
29-05-2025,348.3999939,357.2999878,347.1499939,352.9500122,13380
30-05-2025,342.4500122,351,341.2000122,348.6000061,14944
02-06-2025,344.4500122,347.25,338.4500122,340.3999939,16733
03-06-2025,340.8500061,344.0499878,336.5499878,342.25,13971
04-06-2025,346.1499939,347.7000122,339.5499878,340.8500061,12780
05-06-2025,359.75,361.6499939,347.5499878,348.1499939,20188
06-06-2025,358.0499878,376.3999939,356.2999878,362.25,25705
09-06-2025,361.5499878,364.4500122,355.0499878,357.8500061,16962
10-06-2025,355.0499878,372.5,353.7000122,362.0499878,23070
11-06-2025,350.6499939,358.5,349.3999939,355.5,14161
12-06-2025,347.7999878,352,345.4500122,349.5,16748
13-06-2025,349.7000122,351.5499878,338.0499878,345,11113
16-06-2025,343.9500122,353.7999878,342.8500061,350.5,6074
17-06-2025,335.8500061,348.5,334.2999878,347.0499878,5049
18-06-2025,324.8999939,335.2000122,316.4500122,334.75,0
20-06-2025,319.0499878,329.8500061,316.9500122,324.5499878,374
23-06-2025,330.2999878,330,320.0499878,320.0499878,37
24-06-2025,315.3500061,325.5499878,317.75,323.75,206
25-06-2025,308.6499939,325.25,315,325.25,34
26-06-2025,309.5,309.5,309.5,309.5,1
27-06-2025,309.8999939,307,300.5,307,57
30-06-2025,306.75,308.6499939,305.3500061,308.6499939,57
